data_size,alpha,Epochs,training_size,hidden_nodes,Avg. train_cross_entropy_loss,Avg. val_cross_entropy_loss,Translation (How are you doing)
25000,0.0003,25,128,100,6.092585877,6.093798786,raccrochez stimulant enterrela vaches toucher donnonsnous honte connaît  emmenezle accompagner premier lerreur moyen chapeaux cornet
25000,0.0003,25,128,500,9.095623773,9.097469148,arrivez perçois dislemoi quallonsnous table obéissantes rangezvous soutiens sucré désorganisée forcez professeur match  finitil connait
25000,0.0003,25,128,1000,10.76644162,10.76240109,mattendais énorme brillantes recommencez battus animal sursauté hissez excitées magnezvous clairs lui  bâtie lannée appelezmoi 
25000,0.0003,30,128,100,5.945627168,5.945100837,absurde établi dis  fermé désactivez magnifique pensé premier jadorerais le faire tombées préparezvous pris apprend offre parlai
25000,0.0003,30,128,500,8.959334802,8.964940935,convaincue fortes embauchestu marteau obéir rentré savez tiens  avonsnous mordstoi rencontré glacial lespagnol fait affaires
25000,0.0003,30,128,1000,10.84383793,10.85032721,entrez bowling remarié lapin trouvait terminé  démontezmoi gérer raté binoclard expirait voyage gaffe débrouiller douce
25000,0.0003,70,128,100,5.907512003,5.904509223,arrivée popcorn davantage bronché arrêtezvous plante poker tripe acide déception  nomme romantisme  vertiges femme  noublierai
25000,0.0003,70,128,500,9.084969108,9.085085545,avertissements bel boxe crise prendsle homme héroïne impulsive golfeur  revient brûlante loi immature nœuds régler
25000,0.0003,70,128,1000,10.7382912,10.72796739,insolence  pue laids requiers envoyée arrogante chemin chien  pizza avais poing escroquerie protester léquilibre neige
25000,0.0001,10,128,100,6.000570628,6.007541472,fumer déloyales viennent talentueux arrêtés radieux parfait grimacé discutez morceau  chaviré intelligents manques semblent « non »
25000,0.0001,10,128,500,9.005614107,9.022497845,charmante réfléchis remède chose rats ingéniosité médiatique ramenez débarqué seul  cravate place ruinée mélodrame nouveaux 
25000,0.0001,10,128,1000,10.8345389,10.81484958,constitue demain laissèrent appelle visité tueront murs compteur matière nez retirezvous cactus plans marche prometstu
25000,0.0001,25,128,100,6.057743,6.061215658,venez  larticle institutrice faire pressetoi voiles raton officiel fort exprimé tchintchin prions hongrois abruti vérité
25000,0.0001,25,128,500,8.99345375,9.000836128,élevés fonctionne réveillé choqué blessé  articulations connaît perturbée dénué qu’il tom évitez immobiles jemploie mamuse
25000,0.0001,25,128,1000,10.83358509,10.82230813,accident intriguée âge  cultivée musulmane journée  travaillera barbare  poisson madore change réside épaule hamburger prospérer
25000,0.0001,30,128,100,5.974153465,5.967443117,impatient mèche repu  rencontra rétablissait aidezmoi stressée volontaires avertie plomb épaule fortune montrezlamoi linflation géré
25000,0.0001,30,128,500,9.060768698,9.075066354,indigné macheter boueux prochaine horslaloi dîner aimée calmées bouffé risquetil étaientelles plastique arranger massis quoi 
25000,0.0001,30,128,1000,10.87301188,10.87900173,létage raisonnable gueule grondé suivre candidature saura remarié sauve évité mentraîner ricané présent rentré frire
25000,0.0001,70,128,100,6.01062787,6.013893358,frotté viendrai lobservation compétent mâchoire mennuyer vendues résonner retiens paix nécessaire joint blâmer crocheté couverture
25000,0.0001,70,128,500,8.977120478,8.981353486,parfaitement ceci bavarde équitables amènemoi tignore héroïne grenier reine contrarié fatigués  lavait attendez larrêtonsnous instant
25000,0.0001,70,128,1000,10.82439448,10.82210684,introverti arrive agresser franchement gaucher neuve  minutieuse cassecou informezen croissent détruisla sirènes humiliation oignons stupéfaite
50000,0.005,10,128,100,6.035405259,6.031636739,refaitesle  inefficace laimez mouron nous avons été prévenues larrêtez nexagérez rentrés hoche refrain fonctionna celuici  lève restent rapprochezle
50000,0.005,10,128,500,9.146903947,9.130991511,darrachepied tragique habituée rue repérées coûté  expérience dhabitude erreurs nouveauxvenus croiraistu  bain  pneu ennuis civil
50000,0.005,10,128,1000,10.80507138,10.77255517,perplexes mimportunez endommagés bourse quil importetil  remerciements l’énigme maides allé  rapprocher inquiet  finit effrayée clé 
50000,0.005,25,128,100,5.899800039,5.892377003,cafetière repartis mévitez certain canadien arrêtetoi rafraîchissant canadienne chose cernés fierté imprévisible rampe déterminé courus
50000,0.005,25,128,500,9.073807125,9.056556639,amusez foulé paraissez rappellerai revenez abandonnées voleurs famille boira ressemblait langues résister fainéant verrouillai chantiez
50000,0.005,25,128,1000,10.68621206,10.68290751,douche  gérerons remboursement dentendre épuisée mal  évacuer disposonsnous bienveillants démissionnez  titularisée trouvé gavée cages propension
50000,0.005,30,128,100,6.034184835,6.033379001,jeté réchauffons aille narrivais grimpez coûté  invitées jachetai œil peutêtre haleté retirezvous victorieux surchargée devras
50000,0.005,30,128,500,9.087211134,9.079230856,reposetoi lai poursuites égocentrique donnezvous saisirai attrapele sains procuré prendre abandonner rouler cilla bleu tarif
50000,0.005,30,128,1000,10.75062717,10.72959432,ovni aventureuses vêtu casse danseur glaucome moquette bourré sures mesure trouvé  japonais même maigrichons létang
50000,0.005,70,128,100,5.988590296,5.987549714,rincé tengage embouti lêtes radeau ipad rats ouverte reculer rapprochait registre griffé tulipes inventif page
50000,0.005,70,128,500,8.98440904,8.980653894,ditelle tuerai affrété tabassé super  jétais irresponsables dortil agenouilletoi servante mennuies abandonniez fut plaîtil conseillée
50000,0.005,70,128,1000,10.5800447,10.56880287,accidents scalpel travailla étranger commencer pauvres  toilettes  routières norvège layons conserve prendrait tocards ramassele onéreuses
50000,0.0003,10,128,100,6.043982948,6.043359904,camionnette notre fantastique  exclu mallette dexpliquer sable jogging sentent levées paraphrasais échauffé crevez sellez augmente
50000,0.0003,10,128,500,9.147104925,9.152306422,repassé manifestez quétaistu partirent lemportèrent quérir tête délaborer hâtions mobligez mignores opportuniste dispenser miracle scabreuse
50000,0.0003,10,128,1000,10.95312474,10.95927543,pelouse  endolori causé sabrer coréen noyés travailleuse devient ancien porte  je vous souhaite la meilleure des chances trois nayons soudeur prendil
50000,0.0003,25,128,100,6.15747833,6.151521974,face ressentiment éleva voilier oubliezmoi trépasser rebondi coûter fâché satisfait ouvrez formuler frustrés sauverons rapides
50000,0.0003,25,128,500,9.143156896,9.140804101,meurt répondit joua heureuse plaîtil étrangement sécurisé condescendance devinettes passagers « dehors  » neuves  baissai occupée malchanceuses
50000,0.0003,25,128,1000,10.94550763,10.95449823,plus  éreintant marier sourire dirai mord  souvent remontée constitues vasculaire lexplique dérangerait leva situe pickpockets
50000,0.0003,30,128,100,6.152571802,6.15345201,réparera cidessous quatrième frissonné bête m’étonnerait accueilli réveillez submergé française prendre  cassetête devezvous aaah assurément
50000,0.0003,30,128,500,9.190888877,9.188666045,ardemment fois  entreprise agit fabriquais saufs animée larmes jécrivis couloir connaissons exercice char curieuse montrezlemoi
50000,0.0003,30,128,1000,10.89353762,10.88885133,révolver catholique changeons malhonnête visez lavait doù  cogner dollar postale tôt agitait active éternuezvous amère
50000,0.0003,70,128,100,6.018625404,6.016769312,crue plaisantez allongés fêler grassouillette souciera allons défaite passestu blâmer déchirer ingéniosité posez ramènemoi tapprécie
